20230512,00:02:40,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
1000 entites in cumulative total. Current processing of page 2 for connector SAS2IDM Student Ex processed 2000 entities, finding 0 differences. Duration: 00:00:00.9223091. ",Normal
20230512,00:02:40,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM Student Ex (page 3)",Normal
20230512,00:02:41,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
3000 entites in cumulative total. Current processing of page 3 for connector SAS2IDM Student Ex processed 1500 entities, finding 0 differences. Duration: 00:00:00.5267697. ",Normal
20230512,00:02:41,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM Student Ex (page 4)",Normal
20230512,00:02:41,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
4500 entites in cumulative total. Current processing of page 4 for connector SAS2IDM Student Ex processed 1250 entities, finding 0 differences. Duration: 00:00:00.4854417. ",Normal
20230512,00:02:41,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM Student Ex (page 5)",Normal
20230512,00:02:42,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
5750 entites in cumulative total. Current processing of page 5 for connector SAS2IDM Student Ex processed 1500 entities, finding 0 differences. Duration: 00:00:00.5489562. ",Normal
20230512,00:02:42,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM Student Ex (page 6)",Normal
20230512,00:02:42,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
7250 entites in cumulative total. Current processing of page 6 for connector SAS2IDM Student Ex processed 1750 entities, finding 0 differences. Duration: 00:00:00.5819583. ",Normal
20230512,00:02:42,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM Student Ex (page 7)",Normal
20230512,00:02:43,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
9000 entites in cumulative total. Current processing of page 7 for connector SAS2IDM Student Ex processed 2000 entities, finding 0 differences. Duration: 00:00:00.6563849. ",Normal
20230512,00:02:43,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM Student Ex (page 8)",Normal
20230512,00:02:44,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
11000 entites in cumulative total. Current processing of page 8 for connector SAS2IDM Student Ex processed 2250 entities, finding 0 differences. Duration: 00:00:00.7071036. ",Normal
20230512,00:02:44,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM Student Ex (page 9)",Normal
20230512,00:02:44,UNIFY Identity Broker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector SAS2IDM Student Ex return 15964 entities. Duration: 00:00:05.1611119",Normal
20230512,00:02:45,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
13250 entites in cumulative total. Current processing of page 9 for connector SAS2IDM Student Ex processed 2125 entities, finding 0 differences. Duration: 00:00:00.7031892. ",Normal
20230512,00:02:45,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector SAS2IDM Student Ex (page 10)",Normal
20230512,00:02:45,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
15375 entites in cumulative total. Current processing of page 10 for connector SAS2IDM Student Ex processed 589 entities, finding 0 differences. Duration: 00:00:00.3952274. ",Normal
20230512,00:02:45,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector SAS2IDM Student Ex completed. Duration: 00:00:06.5035335",Normal
20230512,00:02:55,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector PeopleSoft Employee Connector started.",Normal
20230512,00:02:55,UNIFY Identity Broker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector PeopleSoft Employee Connector.",Normal
20230512,00:02:55,UNIFY Identity Broker,Connector,Information,"Import changes from connector completed.
Import changes from connector PeopleSoft Employee Connector reported 0 changes. Duration: 00:00:00.1827524",Normal
20230512,00:02:55,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import changes completed.
Change detection engine import changes for connector PeopleSoft Employee Connector returned 0 possible changes. Duration: 00:00:00.1937217",Normal
20230512,00:02:56,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector PeopleSoft EmployeeNid Connector started.",Normal
20230512,00:02:56,UNIFY Identity Broker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector PeopleSoft EmployeeNid Connector.",Normal
20230512,00:02:56,UNIFY Identity Broker,Connector,Information,"Import changes from connector completed.
Import changes from connector PeopleSoft EmployeeNid Connector reported 0 changes. Duration: 00:00:00.1048547",Normal
20230512,00:02:56,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import changes completed.
Change detection engine import changes for connector PeopleSoft EmployeeNid Connector returned 0 possible changes. Duration: 00:00:00.1108588",Normal
20230512,00:03:30,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector PeopleSoft Job Connector started.",Normal
20230512,00:03:30,UNIFY Identity Broker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector PeopleSoft Job Connector.",Normal
20230512,00:03:30,UNIFY Identity Broker,Connector,Information,"Import changes from connector completed.
Import changes from connector PeopleSoft Job Connector reported 0 changes. Duration: 00:00:00.2027308",Normal
20230512,00:03:30,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import changes completed.
Change detection engine import changes for connector PeopleSoft Job Connector returned 0 possible changes. Duration: 00:00:00.2087313",Normal
20230512,00:03:55,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector PeopleSoft Employee Connector started.",Normal
20230512,00:03:55,UNIFY Identity Broker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector PeopleSoft Employee Connector.",Normal
20230512,00:03:55,UNIFY Identity Broker,Connector,Information,"Import changes from connector completed.
Import changes from connector PeopleSoft Employee Connector reported 0 changes. Duration: 00:00:00.1598566",Normal
20230512,00:03:55,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import changes completed.
Change detection engine import changes for connector PeopleSoft Employee Connector returned 0 possible changes. Duration: 00:00:00.1788575",Normal
20230512,00:03:56,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector PeopleSoft EmployeeNid Connector started.",Normal
20230512,00:03:56,UNIFY Identity Broker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector PeopleSoft EmployeeNid Connector.",Normal
20230512,00:03:56,UNIFY Identity Broker,Connector,Information,"Import changes from connector completed.
Import changes from connector PeopleSoft EmployeeNid Connector reported 0 changes. Duration: 00:00:00.0876452",Normal
20230512,00:03:56,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import changes completed.
Change detection engine import changes for connector PeopleSoft EmployeeNid Connector returned 0 possible changes. Duration: 00:00:00.1036432",Normal
20230512,00:03:58,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import all items started.
Change detection engine import all items for connector PeopleSoft Job Connector started.",Normal
20230512,00:03:58,UNIFY Identity Broker,Connector,Information,"Request to import all entities from connector.
Request to import all entities from connector PeopleSoft Job Connector.",Normal
20230512,00:04:15,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector PeopleSoft Job Connector (page 1)",Normal
20230512,00:04:16,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
0 entites in cumulative total. Current processing of page 1 for connector PeopleSoft Job Connector processed 1000 entities, finding 0 differences. Duration: 00:00:01.0207296. ",Normal
20230512,00:04:16,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector PeopleSoft Job Connector (page 2)",Normal
20230512,00:04:17,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
1000 entites in cumulative total. Current processing of page 2 for connector PeopleSoft Job Connector processed 2000 entities, finding 0 differences. Duration: 00:00:01.5669837. ",Normal
20230512,00:04:17,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector PeopleSoft Job Connector (page 3)",Normal
20230512,00:04:20,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
3000 entites in cumulative total. Current processing of page 3 for connector PeopleSoft Job Connector processed 3000 entities, finding 0 differences. Duration: 00:00:02.4837102. ",Normal
20230512,00:04:20,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector PeopleSoft Job Connector (page 4)",Normal
20230512,00:04:22,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
6000 entites in cumulative total. Current processing of page 4 for connector PeopleSoft Job Connector processed 2500 entities, finding 0 differences. Duration: 00:00:02.1160871. ",Normal
20230512,00:04:22,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector PeopleSoft Job Connector (page 5)",Normal
20230512,00:04:22,UNIFY Identity Broker,Connector,Information,"Import all entities from connector completed.
Import all entities from connector PeopleSoft Job Connector return 11154 entities. Duration: 00:00:24.2278740",Normal
20230512,00:04:24,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
8500 entites in cumulative total. Current processing of page 5 for connector PeopleSoft Job Connector processed 2250 entities, finding 0 differences. Duration: 00:00:01.9764007. ",Normal
20230512,00:04:24,UNIFY Identity Broker,Connector Processor,Information,"Connector Processing started.
Connector Processing started for connector PeopleSoft Job Connector (page 6)",Normal
20230512,00:04:24,UNIFY Identity Broker,Connector Processor,Information,"Connector processing success.
10750 entites in cumulative total. Current processing of page 6 for connector PeopleSoft Job Connector processed 404 entities, finding 0 differences. Duration: 00:00:00.4840920. ",Normal
20230512,00:04:25,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import all items completed.
Change detection engine import all items for connector PeopleSoft Job Connector completed. Duration: 00:00:26.9403033",Normal
20230512,00:04:30,UNIFY Identity Broker,Change detection engine,Information,"Change detection engine import changes started.
Change detection engine import changes for connector PeopleSoft Job Connector started.",Normal
20230512,00:04:30,UNIFY Identity Broker,Connector,Information,"Request to import changes from connector.
Request to import changes from connector PeopleSoft Job Connector.",Normal
20230512,00:04:30,UNIFY Identity Broker,Connector,Information,"Import changes from connector completed.
Import changes from connector PeopleSoft Job Connector reported 0 changes. Duration: 00:00:00.0774368",Normal
